,title,budget_musd,budget_musd,revenue_musd,revenue_musd,vote_average,popularity,ROI,vote_count
,count,sum,mean,sum,mean,mean,mean,median,mean
belongs_to_collection,,,,,,,,,
Steal This Film Collection,2,0.003,0.003,0.0,,5.65,0.768225,,10.0
Step Up Collection,5,143.0,28.6,650.939748,130.1879496,6.640000000000001,9.489189,5.309726966666667,734.6
Stepford Collection,2,0.0,,0.0,,5.85,2.4510134999999997,,40.5
Stir of Echoes Collection,2,12.0,12.0,21.133087,21.133087,5.1,3.2530509999999997,1.7610905833333332,172.5
Stomp the Yard Collection,1,13.0,13.0,75.511123,75.511123,6.1,5.607508,5.808547923076923,90.0
Stray Cat Rock Collection,2,0.0,,0.0,,6.050000000000001,0.5189794999999999,,9.0
Street Fighter,2,85.0,42.5,112.187722,56.093861,4.0,10.122339,1.5479780242857142,221.5
Street Fighter Collection,4,0.0,,0.0,,5.675,2.1541475,,14.0
Street Kings Collection,2,20.0,20.0,65.569869,65.569869,5.25,7.4825170000000005,3.27849345,198.0
StreetDance Collection,3,5.7731,5.7731,18.197477,9.0987385,6.166666666666667,5.548118,3.142857390310232,154.66666666666666
Stuart Little Collection,3,253.0,126.5,470.092173,235.0460865,5.266666666666667,7.216211333333334,1.8364818057017542,565.0
Subspecies Collection,5,0.0,,0.0,,5.2,1.3053616,,13.0
Sugata Sanshirō Collection,2,0.0,,0.0,,5.75,1.3416715,,17.0
Sunes samtliga Resor,2,0.0,,0.0,,5.550000000000001,2.5581345000000004,,15.0
Super Giant Collection,3,0.0,,0.0,,4.75,0.25084166666666663,,1.0
Super Size Me Collection,1,0.065,0.065,28.575078,28.575078,6.6,5.266103,439.6165846153846,520.0
Super Troopers Collection,1,3.0,3.0,18.492362,18.492362,6.6,7.351027999999999,6.164120666666666,367.0
Superman (DC Universe Animated) Collection,1,0.0,,0.0,,7.1,4.030482,,53.0
Superman / Batman (Animated) Collection,2,3.5,3.5,0.0,,6.85,7.216491,,164.5
Superman Collection,5,435.0,87.0,976.9085400000001,195.38170800000003,5.64,11.3303504,1.9448877948717949,788.0
Surf's Up Collection,1,85.0,85.0,149.044513,149.044513,5.9,11.526339,1.7534648588235293,616.0
Swamp Thing Collection,2,3.0,3.0,0.192816,0.192816,5.0,6.1445165,,63.5
Swan Princess Series,3,75.0,37.5,9.771658,9.771658,6.066666666666666,5.244134333333332,0.27919022857142856,118.66666666666667
Swordsman Collection,1,4.439832,4.439832,0.0,,6.9,2.872173,,28.0
Sällskapsresorna,6,0.0,,13.656519000000003,6.8282595000000015,5.0,1.9665715,,19.333333333333332
Síť (kolekce),2,22.0,22.0,110.627965,110.627965,5.25,7.9983900000000006,5.028543863636364,192.0
TRON Collection,2,187.0,93.5,433.062763,216.5313815,6.449999999999999,18.9165105,2.1472434205882354,1806.0
Tada's Do-It-All Collection,1,0.0,,0.0,,5.3,0.4481989999999999,,2.0
Tai Chi Collection,2,40.0,40.0,0.0,,5.75,6.615747000000001,,38.0
Tainá,1,0.0,,0.0,,3.3,0.113347,,3.0
Takashi Miike's Black Society Trilogy,1,0.0,,0.0,,7.0,0.596908,,8.0
Takashi Miike's Young Thugs series,1,0.0,,0.0,,6.1,0.249609,,5.0
Taken Collection,3,118.0,39.333333333333336,928.7432980000001,309.5810993333334,6.466666666666666,16.941815333333334,8.358695688888888,3150.6666666666665
Tales From The Dark Collection,1,0.0,,0.0,,5.7,0.2833219999999999,,6.0
Tales from the Crypt Collection,5,15.0,15.0,5.6,5.6,5.82,4.4118806,0.3733333333333333,53.0
Tales of the Four Seasons,4,0.0,,0.0,,7.075,2.28944475,,16.0
Tangled Collection,2,260.0,260.0,591.794936,591.794936,7.25,12.319364,2.2761343692307694,1901.0
Tanu Weds Manu Collection,2,0.4,0.4,0.252,0.252,6.15,1.1537275,0.63,23.5
Tarzan (Animation) Collection,3,150.0,150.0,448.0,448.0,6.166666666666667,8.453164666666668,2.986666666666667,684.6666666666666
Tarzan (Gordon Scott series),2,0.0,,0.0,,5.5,0.35595299999999996,,2.5
Tarzan (Johnny Weissmuller series),8,9.5e-05,9.5e-05,0.0,,5.825,3.8642995,,20.625
Tarzan (Lex Barker series),2,0.0,,0.0,,5.25,0.7120420000000001,,2.0
Tarzan (Mike Henry series),1,0.0,,0.0,,4.0,0.391716,,3.0
Taxi Collection,4,14.5,14.5,126.491626,42.16387533333333,5.875,7.603818749999999,4.517048827586207,441.75
Ted Collection,2,118.0,59.0,766.3909030000001,383.19545150000005,6.25,30.850043,7.089437473529412,3667.5
Teen Beach Collection,2,0.0,,0.0,,6.15,4.6574860000000005,,158.5
Teen Titans Collection,2,0.0,,0.0,,6.949999999999999,11.795589999999999,,137.5
Teen Wolf Collection,2,0.0,,0.0,,4.9,7.772247999999999,,169.5
Teenage Apocalypse Trilogy,3,0.0,,0.027354,0.027354,6.133333333333333,3.98844,,32.0
Teenage Mutant Ninja Turtles (Original) Collection,3,59.5,19.833333333333332,322.0,107.33333333333333,5.8,9.771910333333333,3.12,321.6666666666667
Teenage Mutant Ninja Turtles (Remake) Collection,2,260.0,130.0,722.823848,361.411924,5.8,17.692874500000002,2.8185179555555555,1830.5
TekWar Collection,4,0.0,,0.0,,6.175,0.38561175,,3.25
Tekken Collection,3,30.0,30.0,0.967,0.967,5.2,8.470499333333334,0.03223333333333333,84.0
Ten Minutes Older... (Collection),2,0.0,,0.0,,6.699999999999999,1.169087,,8.0
Tenchi Muyô Collection,3,0.0,,0.0,,5.366666666666667,0.7103053333333333,,3.3333333333333335
Tengen Toppa Gurren Lagann Collection,2,0.0,,0.0,,6.9,2.9207265,,17.5
Tere Bin Laden Collection,1,0.0,,0.0,,6.7,0.501363,,14.0
Tetsuo Collection,3,0.0,,0.0,,5.933333333333334,3.0444243333333336,,52.666666666666664
Texas Chainsaw (Reboot) Collection,2,25.5,12.75,107.071655,107.071655,6.0,9.163089999999999,11.27070052631579,541.0
Texas Chainsaw Massacre Collection,6,25.384999999999998,6.3462499999999995,92.078277,18.4156554,5.483333333333333,9.10633,2.034864795212766,244.5
That's Entertainment Collection,3,0.0,,0.0,,7.333333333333333,1.4992563333333333,,11.333333333333334
The 1997 Trilogy,1,0.0,,0.0,,6.7,2.396191,,11.0
The 36th Chamber of Shaolin Collection,3,0.0,,0.0,,6.933333333333334,3.765809333333334,,36.333333333333336
The ABCs of Death Collection,3,0.0,,0.0288309999999999,0.01441549999999995,5.066666666666666,5.317211,,90.66666666666667
The Adventures of Antoine Doinel,5,0.35,0.35,0.0,,7.32,6.2488332,,100.4
The Adventures of Erast Fandorin,3,0.0,,0.0,,4.633333333333333,0.7049553333333334,,10.666666666666666
The Adventures of Mickey Matson Collection,1,0.0,,0.0,,4.8,0.59701,,6.0
The Amazing Colossal Man Duology,2,0.0,,0.0,,4.35,0.5438649999999999,,11.0
The Amazing Spider-Man Collection,2,415.0,207.5,1457.933289,728.9666445,6.5,28.6695685,3.5136327823255815,5504.0
The Amityville Horror Collection,12,21.02,5.255,213.347083,53.33677075,4.358333333333333,7.179848666666667,5.686691105263158,91.91666666666667
The Angel Collection,2,3.0,3.0,0.0,,5.65,3.3686865,,11.5
The Angrez Collection,1,0.05,0.05,0.3,0.3,6.9,0.34064,5.999999999999999,6.0
The Apple Dumpling Gang Collection,2,0.0,,0.0,,6.449999999999999,2.5387185,,26.0
The Apu Collection,3,0.0,,0.7225790000000001,0.2408596666666667,8.0,3.027675,,49.0
The Are We Collection,2,32.0,32.0,97.918663,97.918663,5.15,8.0635135,3.05995821875,189.5
The Arrival Collection,2,25.0,25.0,14.048372,14.048372,4.6,4.4015085,0.56193488,112.5
The Art of War Collection,3,40.0,40.0,30.199105,30.199105,4.633333333333334,4.8215536666666665,0.754977625,56.333333333333336
The August Underground Collection,1,0.0003,0.0003,0.0,,3.5,1.340559,,21.0
The Aum Shinrikyo Collection,2,0.0,,0.0,,,0.0520235,,0.0
The Avengers Collection,2,500.0,250.0,2924.961604,1462.480802,7.35,63.633534,5.963190158116884,9454.0
The BRD Collection,3,0.0,,0.0,,7.1000000000000005,1.8814176666666667,,25.666666666666668
The Bad New Bears Collection,3,35.0,35.0,54.42764199999999,27.213820999999996,6.166666666666667,3.7863736666666665,1.009236914285714,42.0
The Benji Collection,4,0.0,,0.0,,5.725,1.0428065,,17.75
The Best Man Collection,2,26.0,13.0,106.19897499999998,53.09948749999999,6.75,5.578581,4.027388937908496,74.0
The Bible Collection,7,45.0,15.0,0.0,,5.742857142857142,1.605320142857143,,6.285714285714286
The Big Bottom Box,1,0.0,,0.0,,6.3,3.150288,,41.0
The Bill Douglas Trilogy,2,0.0,,0.0,,7.35,0.3027595,,8.5
The Black Mask Collection,1,0.0,,0.0,,5.8,7.632785,,55.0
The Black Stallion Collection,2,2.7,2.7,47.599643,23.7998215,6.55,5.752077,13.999867777777778,36.0
The Blind Dead Collection,3,0.0,,0.0,,5.3,1.6682,,17.333333333333332
The Blob Collection,2,0.24,0.24,0.0,,5.550000000000001,4.0286740000000005,,82.5
The Blue Lagoon collection,3,15.5,7.75,61.660959999999996,30.830479999999998,5.733333333333333,10.419978333333333,6.666863727272727,290.6666666666667
The Blues Brothers Collection,2,55.0,27.5,129.281274,64.640637,6.35,11.6195345,2.384804423280423,629.0
The Boogeyman Collection,3,24.5,12.25,67.192859,67.192859,4.733333333333333,8.883012,3.35964295,107.33333333333333
The Boondock Saints Collection,2,14.0,7.0,10.659792,5.329896,6.5,10.254677999999998,0.6668718124999999,556.0
The Bourne Collection,5,455.0,91.0,1637.416431,327.4832862,6.74,18.729180200000002,3.5672370666666664,2904.0
The Bowery Boys,29,0.0,,0.0,,6.675,0.19800631034482757,,0.7241379310344828
The Brady Bunch Collection,2,0.0,,0.0,,5.85,7.065894,,64.5
The Brave Little Toaster Collection,3,2.0,2.0,0.0,,6.466666666666666,3.6876036666666665,,42.333333333333336
The Bremen Town Musicians (Collection),2,0.0,,0.0,,5.7,1.2247365000000001,,10.5
The Bride with White Hair Collection,1,0.0,,0.0,,6.2,3.635789,,25.0
The Bridge,2,0.0,,0.0,,5.85,1.69631,,11.0
The Butterfly Effect Collection,3,13.0,13.0,96.060858,96.060858,5.666666666666667,8.666672666666669,7.389296769230769,844.0
The Cabin Fever Collection,3,11.5,5.75,30.553394,30.553394,4.866666666666667,7.257538666666666,20.368929333333334,172.0
The Carry On Collection,25,0.0,,0.0,,6.167999999999999,3.22043008,,21.04
The Cell Collection,2,33.0,33.0,104.155843,104.155843,4.7,10.5125475,3.1562376666666667,233.0
The Cheerleaders - Collection,1,0.0,,0.0,,4.5,0.457852,,2.0
The Cheetah Girls Collection,3,0.0,,0.0,,5.066666666666667,4.442085,,77.33333333333333
The Chronicles of Narnia Collection,3,560.0,186.66666666666666,1584.144587,528.0481956666666,6.3999999999999995,14.336569666666668,2.6818465612903224,1977.3333333333333
The Chronicles of Riddick Collection,4,166.0,55.333333333333336,267.297687,89.099229,6.275,5.67750225,2.312506913043478,1407.0
The ChubbChubbs Collection,1,0.0,,0.0,,6.6,1.859321,,20.0
The Collector Collection,2,3.4,3.4,120.842058,60.421029,6.1,7.379758499999999,33.529411764705884,329.5
The Comedians Of Comedy Collection,2,0.0,,0.0,,6.85,1.022342,,10.5
The Comics Collection,2,0.0,,0.0,,5.35,1.8874575,,45.5
The Complete Monterey Pop Festival,3,0.0,,0.0,,6.933333333333334,3.047810333333333,,9.666666666666666
The Condemned Collection,2,0.0,,8.642858,8.642858,4.949999999999999,7.4509514999999995,,125.0
The Conjuring Collection,2,53.0,26.5,638.170149,319.0850745,7.2,14.8345035,16.23289975384616,2593.5
The Cremaster Cycle,3,0.0,,0.0,,6.266666666666667,0.7942173333333334,,9.333333333333334
The Crimson Rivers Collection,2,2.365,2.365,0.0,,6.4,7.955524,,266.0
The Croods Collection,1,135.0,135.0,585.178928,585.178928,6.8,14.757874,4.334658725925927,2447.0
The Crossing Collection,2,40.0,40.0,0.0,,5.3,1.5782995,,11.0
The Crow Collection,4,38.0,12.666666666666666,111.91728699999999,55.958643499999994,5.125,8.368151249999999,3.822459756410256,304.75
The Cutlass Collection,1,0.0,,0.0,,5.5,0.0827779999999999,,2.0
The Cutting Edge Collection,4,3.0,3.0,25.10551700000001,25.10551700000001,5.775,6.85123525,,35.75
The Dark Knight Collection,3,585.0,195.0,2463.716216,821.2387386666666,7.8,57.418393333333334,4.339756395999999,9681.0
The Dead Collection,2,0.0,,0.0,,5.4,2.1276745000000004,,40.5
The Decline of Western Civilization Collection,2,0.1,0.1,0.0,,7.15,1.4487615,,23.5
The Delta Force Collection,3,0.0,,24.467261,12.2336305,4.333333333333333,5.248498333333333,,51.666666666666664
The Dentist Collection,2,2.5,2.5,0.0,,4.699999999999999,2.083783,,40.0
The Descent Collection,2,0.0,,0.0,,6.45,7.0500810000000005,,652.5
The Desert Collection,1,0.0,,0.0,,7.2,1.753255,,8.0
The Devil's Carnival Collection,1,0.5,0.5,0.0,,5.3,1.60037,,33.0
The Dick Proenneke Collection,4,0.0,,0.0,,7.425,1.1643587499999999,,12.75
The Dirty Dozen Collection,4,5.4,5.4,45.3,45.3,5.0,5.511827,8.388888888888888,83.25
The Disappearance Of Eleanor Rigby,3,0.0,,0.985007,0.985007,6.466666666666666,7.051583,,79.66666666666667
The Discworld Collection,5,9.3648,9.3648,0.0,,6.540000000000001,4.3224988,,32.6
The Doctor Series,4,0.0,,0.0,,6.2,0.7746485,,7.5
The Dog Who Saved Christmas Collection,1,0.0,,0.0,,3.0,0.515796,,5.0
The Dukes Of Hazzard Collection,2,50.0,50.0,110.803676,110.803676,4.949999999999999,6.2594965,2.21607352,183.5
The Durango Kid,2,0.0,,0.0,,3.5,0.1912085,,0.5
The Elusive Revengers Collection,3,0.0,,0.0,,6.366666666666667,0.792027,,3.6666666666666665
The Emigrants Collection,2,0.0,,0.0,,6.85,2.0893815,,23.0
The Emperor's New Groove Collection,2,100.0,100.0,169.327687,169.327687,6.6,9.9887335,1.69327687,888.5
The Encounter Collection,1,0.0,,0.0,,4.7,0.812442,,15.0
The Endless Summer Collection,2,0.0,,0.0,,7.449999999999999,0.893489,,17.5
The Exorcist Collection,5,132.0,33.0,589.331619,117.8663238,5.5200000000000005,9.4363956,1.5856873053571428,516.8
The Expendables Collection,3,270.0,90.0,793.216361,264.4054536666667,6.066666666666666,14.796910333333335,3.12573423,2582.3333333333335
The Exterminator Collection,1,0.0,,0.0,,6.1,3.576607,,35.0
The Eye Collection,5,16.5,8.25,56.309766,56.309766,5.32,3.8800421999999997,4.6924805,88.2
The Falcon Series,2,0.0,,0.0,,6.5,0.306966,,6.5
The Falls Collection,1,0.0,,0.0,,6.1,0.495278,,13.0
The Fast and the Furious Collection,8,1009.0,126.125,5125.098793,640.637349125,6.6625,10.799435375,4.94215406125,3197.0
The Female Prisoner Series,2,0.0,,0.0,,7.4,1.839339,,20.5
The Fjällbacka Murders,6,0.0,,0.0,,5.616666666666667,1.4080013333333332,,6.666666666666667
The Flicka Collection,2,0.0,,0.0,,1.9,0.54077,,1.5
The Flintstones (Live-Action) Collection,2,129.0,64.5,401.099483,200.5497415,4.7,10.536590499999999,4.071625316134102,349.5
The Fly (1958 series),3,0.7,0.7,3.0,3.0,5.8999999999999995,4.793555333333334,4.285714285714286,58.333333333333336
The Fly Collection,2,15.0,15.0,99.53233800000001,49.766169000000005,6.15,11.3710125,4.041943933333333,598.5
The Foreigner Collection,2,32.7,16.35,0.0,,3.6500000000000004,7.127884999999999,,31.0
The Four Collection,1,0.0,,0.0,,6.5,6.653942,,20.0
The Fox and the Hound Collection,2,36.0,18.0,29.8,29.8,6.3,8.8147835,2.4833333333333334,499.5
The Frogtown Collection,1,0.0,,0.0,,5.7,6.004236,,29.0
The Fugitive / U.S. Marshals Collection,2,104.0,52.0,471.24316500000003,235.62158250000002,6.7,9.275867,5.044831708333334,811.5
The Gamers Collection,4,0.0,,0.0,,6.225,0.43086075,,9.75
The Garden of Sinners,9,0.0,,0.0,,7.122222222222222,1.4884303333333333,,12.666666666666666
The Gate Collection,2,2.5,2.5,0.0,,5.6,2.9783999999999997,,61.5
The Gidget Collection,2,0.0,,0.0,,5.25,0.5051335000000001,,8.5
The Gingerdead Man Collection,3,0.0,,0.0,,4.7,1.0606246666666668,,15.0
The Godfather Collection,3,73.0,24.333333333333332,429.375314,143.12510466666666,7.966666666666666,31.641306666666665,3.6571416153846155,3677.0
The Gods Must Be Crazy Collection,3,5.0,5.0,60.0,60.0,6.133333333333333,5.905617,12.0,117.0
The Good Witch Collection,3,0.0,,0.0,,5.633333333333333,4.264754,,24.666666666666668
The Gorky Collection,2,0.0,,0.0,,6.15,0.629823,,2.5
The Gremlins Collection,2,61.0,30.5,194.565309,97.2826545,6.6,12.858155,7.373144888181818,1146.5
The Grudge Collection,3,35.0,11.666666666666666,261.22845,87.07615,5.466666666666666,9.006699666666666,7.722001800000003,442.3333333333333
The Gruffalo Collection,3,0.0,,0.0,,6.866666666666667,6.620876666666668,,36.666666666666664
The Guyver Collection,2,0.0,,0.0,,5.55,2.1916655,,26.5
The Hamiltons Collection,2,3.0,3.0,0.0,,4.6,4.80382,,39.5
The Hangover Collection,3,218.0,72.66666666666667,1075.726677,358.57555900000006,6.466666666666666,23.642174,3.5145638058252437,4383.666666666667
The Hannibal Lecter Anthology,5,249.0,49.8,924.4223010000001,184.8844602,6.8,2.452526,2.6820038205128207,1598.6
The Happy Hooker Collection,2,0.0,,0.0,,5.199999999999999,0.081235,,3.5
The Haunting in Connecticut Collection,2,0.0,,77.527732,77.527732,5.8,9.70835,,247.0
The Heroic Trio Collection,1,0.0,,0.0,,5.6,0.832443,,12.0
The Hills Have Eyes (Original) Collection,2,0.9299999999999999,0.46499999999999997,25.0,25.0,5.199999999999999,3.941166,108.69565217391303,89.0
The Hills Have Eyes (Reboot) Collection,2,30.0,15.0,69.623713,69.623713,5.65,12.2599305,4.641580866666667,540.5
The Hire,9,0.0,,0.0,,6.811111111111111,1.2468468888888888,,15.444444444444445
The Hitcher (1986) Collection,2,6.0,6.0,5.844868,5.844868,5.6,4.6328745,0.9741446666666667,105.5
The Hobbit Collection,3,750.0,250.0,2935.5233559999997,978.5077853333332,7.233333333333333,25.205614,3.8336,5981.333333333333
The Hobgoblin Collection,1,0.0,,0.0,,2.2,1.0964200000000002,,18.0
The Houses October Built Collection,1,0.0,,0.0,,5.5,6.034967,,97.0
The Howling Collection,7,1.0,1.0,17.985893,17.985893,4.042857142857143,2.484402428571429,17.985893,44.0
The Human Centipede Collection,3,2.0117990000000003,2.0117990000000003,0.0,,4.366666666666667,11.487980333333333,,337.6666666666667
The Human Condition,3,0.0,,0.0,,8.466666666666667,2.333018,,33.666666666666664
The Hunchback of Notre Dame Collection,2,100.0,100.0,100.138851,100.138851,5.949999999999999,10.656245499999999,1.00138851,669.0
The Hunger Games Collection,4,490.0,122.5,2944.1626340000003,736.0406585000001,6.875,54.766747499999994,6.2677218852307695,6543.5
The Hunters Collection,2,17.5,17.5,0.0,,6.4,2.3328640000000003,,26.0
The Huntsman Collection,2,285.0,142.5,561.202163,280.6010815,5.9,18.0058785,1.8821321664961637,2379.0
The Hustler Collection,2,15.8,7.9,59.893982,29.946991,7.15,10.473593999999999,3.794709492753623,270.0
The Inbetweeners Collection,2,0.0,,88.02578100000002,88.02578100000002,6.15,6.0521905,,277.5
The Incredible Hulk (TV Movie) Collection,3,0.0,,0.0,,4.833333333333333,4.0560350000000005,,18.0
The Incredibles Collection,1,92.0,92.0,631.442092,631.442092,7.4,22.220214,6.863501,5290.0
The Invisible Man (Universal Series),5,0.65,0.325,1.04,1.04,6.14,2.2866732,3.229813664596273,37.2
The Jack Ryan Collection,5,265.0,53.0,836.688411,167.3376822,6.36,11.000635399999998,3.482059951612903,688.4
The Jake Gittes Collection,2,25.0,12.5,40.0,20.0,7.050000000000001,8.384424,2.763157894736842,493.5
The Jaws Collection,4,70.5,17.625,798.406075,199.60151875,5.275,14.217550250000002,6.843125906707317,883.25
The Joys of Torture Series,1,0.0,,0.0,,6.8,0.365884,,4.0
The Jungle Book Collection,2,24.0,12.0,341.523612,170.761806,6.35,16.7256495,29.1224515,1034.5
The Karate Kid Collection,4,20.000113,6.666704333333333,260.702809,65.17570225,5.775,8.321918,11.35194475,470.75
The Kingdom,2,0.0,,0.0,,7.35,2.8919175,,36.0
The Klapisch Trilogy,3,18.3,9.15,27.6251,13.81255,6.733333333333333,7.288360333333333,1.280305386792453,220.0
The Krays Collection,1,2.5,2.5,0.0,,4.5,2.126507,,19.0
The Land Before Time Collection,14,12.3,12.3,84.46084599999998,84.46084599999998,6.164285714285714,4.905619928571428,6.866735447154469,96.07142857142857
The Last Exorcism Collection,2,6.8,3.4,82.91739199999999,41.458695999999996,5.0,6.1357835000000005,20.33406631111111,267.0
The Last Picture Show Collection,2,1.3,1.3,29.133000000000006,29.133000000000006,6.4,3.165862,22.410000000000004,71.0
The Lawnmower Man Collection,2,10.0,10.0,34.510225,17.2551125,4.1,4.590649,3.2100999999999997,115.0
The Legend Collection,2,0.0,,6.924581,3.4622905,6.75,3.215853,,35.0
The Lego Movie Collection,2,140.0,70.0,781.1110759999999,390.55553799999996,7.35,16.744440499999996,5.859362333333333,2300.0
The Librarian Collection,3,0.0,,0.0,,5.8999999999999995,9.598647666666666,,143.33333333333334
The Lion King Collection,4,45.0,45.0,788.241776,788.241776,6.75,11.48265625,17.51648391111111,1827.5
The Little Mermaid Collection,3,40.0,40.0,222.3,222.3,6.466666666666666,6.523615,5.5575,816.6666666666666
The Little Polar Bear Collection,2,0.0,,0.0,,5.85,0.7513540000000001,,7.0
The Lone Ranger (Clayton Moore) Collection,2,0.0,,0.0,,6.199999999999999,0.963892,,5.0
The Lord of the Rings Animated Collection,3,7.0,3.5,30.47142,30.47142,5.733333333333333,8.713759333333332,7.617855,90.66666666666667
The Lord of the Rings Collection,3,266.0,88.66666666666667,2916.5447429999995,972.1815809999998,8.033333333333333,30.272873333333337,11.725156962025316,8253.0
The Lost Skeleton Collection,2,0.0006,0.0006,0.0,,6.75,1.3461670000000001,,19.5
The Love Comes Softly Collection,10,0.0,,0.0,,5.86,1.2472655,,9.8
The Magick Lantern Cycle,9,0.0,,0.0,,6.800000000000001,0.5528087777777778,,13.222222222222221
The Magnificent Seven Collection,4,5.0,2.5,4.905,4.905,5.825,4.678609,2.4525,134.5
The Man From Snowy River Collection,2,3.5,3.5,20.659423,20.659423,6.45,2.0175885,5.902692285714286,24.0
The Man With No Name Collection,3,2.0,0.6666666666666666,35.5,11.833333333333334,7.833333333333333,14.171277666666667,25.0,1422.6666666666667
The Man from Earth Collection,1,0.0,,0.0,,7.7,9.29906,,696.0
The Man from U.N.C.L.E. Collection,3,0.0,,0.0,,7.133333333333333,1.1442539999999999,,3.6666666666666665
The Man with the Iron Fists Collection,2,15.0,15.0,15.608545,15.608545,4.9,6.1503625,1.0405696666666666,216.0
The Mangler Collection,1,0.0,,0.0,,4.4,4.299199,,59.0
The Marine Collection,5,21.95,10.975,22.165608,22.165608,5.36,6.422364,1.1082804,63.6
The Mark Collection,1,0.0,,0.0,,3.2,0.5429390000000001,,5.0
The Mask Collection,2,107.0,53.5,351.583407,351.583407,5.1,10.3235785,15.286235086956523,1448.0
The Matrix Collection,3,363.0,121.0,1627.1052949999998,542.3684316666667,7.0,21.654618,4.923998006666666,5244.666666666667
The Matt Helm Collection,3,0.0,,18.718123999999992,9.359061999999996,5.866666666666667,1.394552,,11.666666666666666
The Maze Runner Collection,2,95.0,47.5,659.576787,329.7883935,6.75,59.0818295,7.6736371757473485,4344.0
The Mesrine Collection,2,80.0,80.0,31.05544,31.05544,7.3,6.755388,,233.0
The Messengers Collection,2,16.0,16.0,1.10966,1.10966,5.35,6.900536499999999,0.06935375,131.5
The Mighty Ducks Collection,3,10.0,10.0,119.317844,39.77261466666666,5.833333333333333,7.580750666666667,5.0752337,145.66666666666666
The Millennium Collection,3,17.0,8.5,214.839043,71.61301433333334,7.1000000000000005,10.883236666666667,9.450558961538462,677.3333333333334
The Modesty Blaise Collection,1,0.0,,0.0,,5.3,4.9691160000000005,,22.0
The Moment After Collection,2,0.0,,0.0,,3.8,1.151454,,4.0
The Monkey King Collection,1,82.0,82.0,0.0,,4.8,6.793767,,52.0
The Mummy (Hammer Series),4,0.0,,0.0,,6.0,3.8513532500000007,,25.75
The Mummy (Universal Series),5,0.196,0.196,0.0,,7.1,3.6355098,,32.4
The Mummy Collection,3,323.0,107.66666666666667,1250.027401,416.67580033333337,5.933333333333334,18.393316333333335,4.418502795918368,2157.3333333333335
The Muppet Collection,7,127.0,31.75,400.12440100000003,66.68740016666668,6.528571428571429,8.455314714285715,1.6076658000000001,214.42857142857142
The Musketeers Collection,3,0.0,,0.0,,6.466666666666666,7.970777999999999,,45.666666666666664
The Nancy Drew Collection (Bonita Granville),4,0.0,,0.0,,7.275,0.3464755,,3.75
The Neverending Story Collection,3,76.0,25.333333333333332,36.442475,18.2212375,5.633333333333333,9.045763333333333,0.6277435561342593,443.0
The Nigger Charley Collection,1,0.0,,0.0,,8.5,0.129052,,2.0
The Nut Job Collection,1,0.0,,0.0,,5.5,7.875792999999999,,322.0
The Nutty Professor Collection,2,138.0,69.0,252.07729,126.038645,5.050000000000001,8.1614485,1.926284613095238,527.5
The Odd Couple Collection,2,0.0,,44.527234,44.527234,6.8,5.274964,,74.5
The Olsen Gang Collection,4,0.0,,0.0,,7.2,1.7450275,,12.75
The Omen Collection,4,9.6,4.8,107.912717,35.97090566666667,5.85,9.3511965,12.82898261554622,206.0
The One-Armed Swordsman Collection,3,0.0,,0.0,,6.466666666666666,1.4379396666666666,,14.666666666666666
The Orphic Trilogy,3,0.0,,0.0,,7.5,3.1726423333333336,,29.333333333333332
The Ouija Experiment Collection,3,0.0,,0.0,,3.9333333333333336,1.770802,,32.0
The Pact Collection,2,0.0,,0.0,,4.95,7.180656,,129.5
The Paleface Collection,2,0.0,,0.0,,6.1,2.79702,,15.0
The Party Collection,2,0.0,,0.0,,6.35,8.5352905,,179.5
The Philadelphia Experiment - Collezione,3,26.0,13.0,0.00297,0.00297,5.166666666666667,6.099806999999999,0.000594,53.666666666666664
The Pink Panther (Original) Collection,9,47.0,11.75,164.478248,20.559781,5.6,5.99633911111111,3.023614598484849,100.0
The Pink Panther (Steve Martin) Collection,2,0.0,,75.871032,75.871032,5.5,14.5336255,,446.5
The Poseidon Adventure Collection,2,5.0,5.0,84.563118,84.563118,6.3,6.809306,16.9126236,151.0
The Postman Collection,1,80.0,80.0,17.626234,17.626234,6.1,6.537407,0.220327925,306.0
The President's Man Collection,2,0.0,,0.0,,3.65,0.6852635,,9.0
The Prince & Me Collection,3,0.0,,0.0,,5.033333333333333,7.499837333333333,,133.0
The Princess Diaries Collection,2,77.0,38.5,260.484588,130.242294,6.25,7.818033,3.423626761824324,894.5
The Prophecy Collection,4,8e-06,8e-06,1.6e-05,1.6e-05,5.425,6.587102,2.0,61.0
The Protector Collection,2,6.0,6.0,30.468044,15.234022,6.15,11.2613995,4.527596833333333,114.0
The Pub Landlord Collection,1,0.0,,0.0,,,0.003506,,0.0
The Purge Collection,3,22.0,7.333333333333333,316.69935399999997,105.56645133333332,6.233333333333333,21.380863,12.086983,1954.0
The Raid Collection,2,5.6,2.8,6.732396,3.366198,7.449999999999999,9.481858500000001,2.157906202020202,954.0
The Reef Collection,1,0.0,,0.0,,2.3,1.675072,,6.0
The Rescuers Collection,2,39.131,19.5655,118.64733,59.323665,6.65,6.4434455,30.29851221339406,456.0
The Riffs Trilogy,2,0.0,,0.0,,4.75,4.5028295,,11.0
The Ring Collection,3,123.0,41.0,493.88136099999997,164.62712033333332,5.6000000000000005,18.144959333333333,3.3232356,1147.0
